City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kavaratti,IN,10.5669,72.642,80.89,70,0,10.29,clear sky
80,Manta,EC,-0.95,-80.7333,78.8,89,75,5.75,light rain
81,Carnarvon,AU,-24.8667,113.6333,91.4,55,0,17.27,clear sky
82,Mahenge,TZ,-8.6833,36.7167,70.75,96,100,2.57,overcast clouds
83,Nikolskoye,RU,59.7035,30.7861,30.2,93,75,6.71,light snow
84,Mahebourg,MU,-20.4081,57.7,86.0,62,40,16.11,scattered clouds
85,Kamenka,RU,51.3223,42.7678,32.0,95,100,11.65,overcast clouds
86,Palmas,BR,-10.2128,-48.3603,71.6,88,20,5.75,few clouds
87,Haines Junction,CA,60.7522,-137.5108,-16.6,76,100,1.14,overcast clouds
88,Bud,US,39.447,-86.1758,19.4,79,1,2.98,clear sky
89,Grand Forks,US,47.9417,-97.4337,19.4,86,90,8.05,light snow
90,Whitehorse,CA,60.7161,-135.0538,-7.01,71,75,20.71,broken clouds
91,Saint-Joseph,RE,-21.3667,55.6167,86.0,62,40,5.75,light rain
92,Santa Maria Del Oro,MX,25.9333,-105.3667,51.71,46,0,2.42,clear sky
93,Klaksvik,FO,62.2266,-6.589,33.8,64,20,9.22,few clouds
94,Cape Town,ZA,-33.9258,18.4232,71.01,56,75,5.75,broken clouds
95,Raga,SS,8.4596,25.678,77.11,16,0,9.1,clear sky
96,Iqaluit,CA,63.7506,-68.5145,-11.2,77,1,23.02,snow
97,Bayanday,RU,53.0661,105.5139,-17.28,80,100,2.19,overcast clouds
98,Lagoa,PT,39.05,-27.9833,60.31,71,17,39.3,few clouds
99,Port Keats,AU,-14.25,129.55,83.25,81,100,14.2,overcast clouds
100,Kruisfontein,ZA,-34.0033,24.7314,71.01,63,0,1.99,clear sky
101,Hamilton,US,39.1834,-84.5333,23.0,82,0,3.49,clear sky
102,Alyangula,AU,-13.8483,136.4192,91.4,58,40,5.75,scattered clouds
103,Asau,RO,46.4333,26.4,35.01,74,0,5.75,clear sky
104,Sioux Lookout,CA,50.1001,-91.917,-16.6,83,1,2.3,clear sky
105,Tchaourou,BJ,8.8865,2.5975,72.0,81,0,3.62,clear sky
106,Lavrentiya,RU,65.5833,-171.0,-16.1,82,100,11.7,overcast clouds
107,Panguna,PG,-6.3164,155.4848,74.5,95,100,2.57,light rain
108,Vila Velha,BR,-20.3297,-40.2925,77.0,83,0,8.05,clear sky
109,Taoudenni,ML,22.6783,-3.9836,59.94,35,0,10.83,clear sky
110,Bharatpur,IN,27.2167,77.4833,67.93,25,0,5.64,clear sky
111,Awjilah,LY,29.1081,21.2869,50.74,74,0,1.77,clear sky
112,Oranjestad,AW,12.524,-70.027,77.0,83,20,9.22,few clouds
113,Cockburn Town,TC,21.4612,-71.1419,75.69,81,71,17.09,broken clouds
