City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Arraial Do Cabo,BR,75.83,clear sky,-22.9661,-42.0278,
190,Ati,TD,70.45,clear sky,13.2154,18.3353,
191,Umm Lajj,SA,70.27,clear sky,25.0213,37.2685,
193,Itiuba,BR,67.06,overcast clouds,-10.6917,-39.8536,
196,Miandrivazo,MG,87.21,clear sky,-19.5167,45.4667,
202,Faanui,PF,81.55,overcast clouds,-16.4833,-151.75,
204,Jasdan,IN,75.0,clear sky,22.0333,71.2,
208,Ribeira Grande,PT,61.39,few clouds,38.5167,-28.7,
218,Acapulco,MX,75.04,overcast clouds,16.8634,-99.8901,
219,Champerico,GT,68.0,overcast clouds,14.3,-91.9167,
222,Mount Gambier,AU,71.6,broken clouds,-37.8333,140.7667,
223,Marondera,ZW,66.22,light rain,-18.1853,31.5519,
224,Rawson,AR,60.57,scattered clouds,-43.3002,-65.1023,
227,Tarauaca,BR,71.65,overcast clouds,-8.1614,-70.7656,
229,Huarmey,PE,70.27,overcast clouds,-10.0681,-78.1522,
233,Rio Grande,BR,72.0,broken clouds,-32.035,-52.0986,
237,Vredendal,ZA,65.62,clear sky,-31.6683,18.5012,
239,Ngunguru,NZ,66.99,clear sky,-35.6167,174.5,
241,Salalah,OM,75.2,few clouds,17.0151,54.0924,
242,Rocha,UY,61.81,broken clouds,-34.4833,-54.3333,
244,Utiel,ES,62.6,clear sky,39.5667,-1.2,
245,Atar,MR,62.96,clear sky,20.5169,-13.0499,
246,Atuona,PF,78.71,overcast clouds,-9.8,-139.0333,
247,Chilca,PE,72.0,clear sky,-12.5211,-76.7372,
248,Lufilufi,WS,82.4,light rain,-13.8745,-171.5986,
249,Hambantota,LK,86.0,broken clouds,6.1241,81.1185,
250,Yangambi,CD,75.49,light rain,0.8102,24.4336,
251,Caravelas,BR,74.66,overcast clouds,-17.7125,-39.2481,
252,Mandera,KE,85.55,clear sky,3.9366,41.867,
254,Simga,IN,73.4,haze,21.6333,81.7,
259,Myitkyina,MM,85.59,clear sky,25.3833,97.4,
261,Sorong,ID,81.55,overcast clouds,-0.8833,131.25,
263,Acarau,BR,77.72,light rain,-2.8856,-40.12,
264,Pointe-Noire,CG,77.0,moderate rain,-4.7761,11.8635,
266,Souillac,MU,86.0,scattered clouds,-20.5167,57.5167,
267,Mayor Pablo Lagerenza,PY,75.81,overcast clouds,-19.9309,-60.7718,
269,Kirakira,SB,79.97,heavy intensity rain,-10.4544,161.9205,
271,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,
274,Cuddapah,IN,82.4,haze,14.4667,78.8167,
277,Kahului,US,73.4,few clouds,20.8947,-156.47,
282,Le Port,RE,86.0,light rain,-20.9373,55.2919,
284,Esperance,AU,75.2,clear sky,-33.8667,121.9,
286,Port Lincoln,AU,68.32,broken clouds,-34.7333,135.8667,
288,Kidal,ML,61.02,few clouds,18.4411,1.4078,
294,Buala,SB,80.8,moderate rain,-8.145,159.5921,
297,El Jicaro,GT,66.94,overcast clouds,14.9167,-89.9,
298,Finschhafen,PG,84.4,broken clouds,-6.6024,147.8681,
299,Sao Lourenco Do Sul,BR,72.0,overcast clouds,-31.3653,-51.9783,
302,Novo Aripuana,BR,72.81,overcast clouds,-5.1206,-60.3797,
303,Yaval,IN,82.56,clear sky,21.1667,75.7,
